STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_is,Information society indicator,ind_type,Individual type,unit,Unit of measure,geo,Geopolitical entity (reporting),year,Time,value,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,FI,Finland,2017,,45.23,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,FI,Finland,2019,,50.07,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,FR,France,2015,,26.85,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,FR,France,2016,,27.57,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,FR,France,2017,,29.24,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,FR,France,2019,,30.92,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,HR,Croatia,2015,,30.28,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,HR,Croatia,2016,,33.28,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,HR,Croatia,2017,,20.61,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,HR,Croatia,2019,,35.34,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,HU,Hungary,2015,,22.42,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,HU,Hungary,2016,,23.82,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,HU,Hungary,2017,,25.75,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,HU,Hungary,2019,,25.36,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,IE,Ireland,2015,,25.01,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,IE,Ireland,2016,,24.80,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,IE,Ireland,2017,,27.74,,,,,
